"","block","duration","reproduction","exp","sub","rep_err","prod_err","durn1_diff","ratio","trialn1","begins"
"1","1",0.493169370364043,0.821931435122679,"Vis/Mix","21",0.328762064758636,0.296737868729693,0,0,"Equal",1
"2","1",0.3,0.390046938489832,"Vis/Mix","21",0.0900469384898314,0.34579372794833,0.193169370364043,0.608310284514525,"Shorter",0
"3","3",9.73296455223241,9.3499244022023,"Vis/Mix","21",-0.383040150030103,0.369146789926925,-9.43296455223241,32.443215174108,"Longer",0
"4","1",0.810720092884221,0.918320908294845,"Vis/Mix","21",0.107600815410624,0.347247681389636,8.92224445934819,0.0832963161977477,"Shorter",0
"5","3",9.73296455223241,9.81379470300817,"Vis/Mix","21",0.0808301507757623,0.400563443120371,-8.92224445934819,12.0053328364003,"Longer",0
"6","1",0.493169370364043,0.822020315506961,"Vis/Mix","21",0.328850945142918,0.312833992886013,9.23979518186836,0.0506700058052638,"Shorter",0
"7","1",0.3,0.16635805275655,"Vis/Mix","21",-0.13364194724345,0.361901132443745,0.193169370364043,0.608310284514525,"Shorter",0
"8","3",16,12.1655329735622,"Vis/Mix","21",-3.83446702643779,0.429112908670493,-15.7,53.3333333333333,"Longer",0
"9","2",3.60159985092008,2.93413510746541,"Vis/Mix","21",-0.667464743454671,0.356254616040191,12.3984001490799,0.225099990682505,"Shorter",0
"10","1",0.810720092884221,0.518297562353837,"Vis/Mix","21",-0.292422530530384,0.427222869517355,2.79087975803586,0.225099990682505,"Shorter",0
"11","2",2.19089023002067,2.03795434967105,"Vis/Mix","21",-0.152935880349612,0.343202520194102,-1.38017013713644,2.70240030961407,"Longer",0
"12","2",2.19089023002067,2.30960077891359,"Vis/Mix","21",0.118710548892925,0.343189881521032,0,1,"Equal",0
"13","3",5.92066243593828,5.97362236520348,"Vis/Mix","21",0.0529599292651977,0.388949516052234,-3.72977220591762,2.70240030961407,"Longer",0
"14","3",5.92066243593828,6.72575868631247,"Vis/Mix","21",0.80509625037419,0.580999263432458,0,1,"Equal",0
"15","2",1.33274105916396,1.38196257318123,"Vis/Mix","21",0.049221514017262,0.321336309649922,4.58792137677432,0.225099990682505,"Shorter",0
