"","exp","mslope","seslope"
"1","Aud/Block",-0.0022917229582642,0.00422855743454154
"2","Aud/Mix",-0.00770472357478618,0.00425660166564496
"3","Vis/Block",-0.00719822145631823,0.00463737338378676
"4","Vis/Mix",-0.0295092436972004,0.00655165461004002
