"","exp","modality","design","duration","mRepr","mCV","n","msdProd","msdRepr","mPrErr","mRE","mRRE","mseRRE"
"1","Aud/Block","Aud","Block",0.3,0.434376219870537,0.225132364323116,13,0.0636304245547862,0.104704956300657,0.290831004812891,0.134376219870537,0.447920732901789,0.190334927951932
"2","Aud/Block","Aud","Block",0.493169370364043,0.645278123501268,0.193862968607266,13,0.0660719340374545,0.129021051693025,0.270062506764331,0.152108753137226,0.308431062993518,0.108172004144957
"3","Aud/Block","Aud","Block",0.810720092884221,0.949302723576529,0.151964442528782,13,0.0814566685155324,0.146164893224303,0.284413598841916,0.138582630692308,0.17093770329447,0.0469292726681228
"4","Aud/Block","Aud","Block",1.33274105916396,1.61672820938032,0.175894842468076,13,0.0740237923169282,0.29995309143044,0.345589946664799,0.283987150216351,0.213085016225506,0.061425592278367
"5","Aud/Block","Aud","Block",2.19089023002067,2.44682200583722,0.143950180568034,13,0.0773208118744849,0.365871756263794,0.341219068130579,0.255931775816556,0.116816338997569,0.0439165398950034
"6","Aud/Block","Aud","Block",3.60159985092008,3.62033924822135,0.139544802163058,13,0.0746645096392879,0.511556623521889,0.357282514958196,0.0187393973012686,0.00520307587653895,0.029041523900945
"7","Aud/Block","Aud","Block",5.92066243593828,6.37528663739995,0.189781306519163,13,0.106028255729753,1.23403137576024,0.462868257522792,0.454624201461669,0.076786036424254,0.0407217326772917
"8","Aud/Block","Aud","Block",9.73296455223241,9.65000246798512,0.193145835149033,13,0.103397324988745,1.88841155296253,0.466165111457472,-0.082962084247292,-0.00852382476090117,0.0363982187222401
"9","Aud/Block","Aud","Block",16,13.6403909142948,0.191197662942375,13,0.111121030912374,2.58459717463187,0.504006468101541,-2.35960908570521,-0.147475567856576,0.0315456822583096
"10","Aud/Mix","Aud","Mix",0.3,0.38225419629175,0.254554711564889,11,0.0820634461569229,0.0996512782391792,0.406105549274303,0.0822541962917494,0.274180654305831,0.0828694109265627
"11","Aud/Mix","Aud","Mix",0.493169370364043,0.594628262618917,0.245136448928406,11,0.0847844139627863,0.150885874752853,0.379813318106071,0.101458892254874,0.205728292046971,0.0772824227543061
"12","Aud/Mix","Aud","Mix",0.810720092884221,0.982368127826534,0.184258874582363,11,0.068164439217323,0.189406411882289,0.381278905221921,0.171648034942313,0.211722931809495,0.0765941905913741
"13","Aud/Mix","Aud","Mix",1.33274105916396,1.49598183144034,0.221499648506309,11,0.0794220596409939,0.334981388605055,0.395514238087979,0.163240772276377,0.122484987728058,0.0701159238278951
"14","Aud/Mix","Aud","Mix",2.19089023002067,2.37787650826915,0.215398495927862,11,0.0942997549617673,0.529634185202155,0.414334575929781,0.186986278248484,0.0853471687838602,0.0726286136933884
"15","Aud/Mix","Aud","Mix",3.60159985092008,3.70783638642351,0.218099652602203,11,0.127617334290268,0.845584023695835,0.451628622716949,0.106236535503435,0.0294970401768245,0.0679376137830322
"16","Aud/Mix","Aud","Mix",5.92066243593828,5.67143863929187,0.192000184806637,11,0.158231886283993,1.07560342289217,0.505986590338452,-0.249223796646412,-0.0420939040762787,0.0458998430766032
"17","Aud/Mix","Aud","Mix",9.73296455223241,8.2209735261372,0.20305130464736,11,0.120187917984124,1.70238816598925,0.46893121488916,-1.51199102609521,-0.15534742965322,0.0453018149856005
"18","Aud/Mix","Aud","Mix",16,11.9069014401748,0.200219662274982,11,0.124585544220134,2.32683060975925,0.507811781053553,-4.09309855982519,-0.255818659989075,0.0363431385844845
"19","Vis/Block","Vis","Block",0.3,0.466055111072547,0.392026274685088,12,0.104917737319755,0.180641540978746,0.375178761739192,0.166055111072547,0.553517036908489,0.213353115782434
"20","Vis/Block","Vis","Block",0.493169370364043,0.719116356482939,0.268650310057675,12,0.127339785600777,0.194642063169301,0.341573508151887,0.225946986118896,0.458152918037284,0.130932361636049
"21","Vis/Block","Vis","Block",0.810720092884221,1.05231430035413,0.24135937922508,12,0.0881176961442844,0.257877681028194,0.32411929603099,0.241594207469908,0.297999531022368,0.0965504132308054
"22","Vis/Block","Vis","Block",1.33274105916396,1.84740330941222,0.316155401583751,12,0.13914327523734,0.597256222075985,0.460148432861146,0.514662250248253,0.386168225785064,0.0893915698527975
"23","Vis/Block","Vis","Block",2.19089023002067,2.84277583764461,0.301837590825854,12,0.131410989931313,0.864108373826286,0.443363919678327,0.65188560762394,0.297543710173827,0.0574019900262899
"24","Vis/Block","Vis","Block",3.60159985092008,3.99793930773273,0.267284565908347,12,0.123259854966463,1.08436272242098,0.42743725313628,0.396339456812646,0.110045389054366,0.0457260291025553
"25","Vis/Block","Vis","Block",5.92066243593828,7.37631945726904,0.318765892188502,12,0.147159369332027,2.36832363867421,0.539097009194442,1.45565702133075,0.245860499071007,0.0778167815175207
"26","Vis/Block","Vis","Block",9.73296455223241,10.447503636095,0.283030893369029,12,0.159457797194192,2.97930245962372,0.539850364176765,0.714539083862606,0.073414331268546,0.0588035479742429
"27","Vis/Block","Vis","Block",16,13.8631680338162,0.2773253855748,12,0.138707530312355,3.77004865436911,0.535351615530799,-2.13683196618383,-0.13355199788649,0.0505210063580746
"28","Vis/Mix","Vis","Mix",0.3,0.627474299219337,0.441558781118317,13,0.141372297358672,0.298431128449086,0.49107719169153,0.327474299219337,1.09158099739779,0.294342857158382
"29","Vis/Mix","Vis","Mix",0.493169370364043,0.864082041387109,0.396091634136491,13,0.133845262972951,0.368279881570036,0.440697777689007,0.370912671023066,0.752099974800279,0.175194769361093
"30","Vis/Mix","Vis","Mix",0.810720092884221,1.22587256804624,0.312993313075751,13,0.102713285321534,0.409131961810401,0.43472335578679,0.41515247516202,0.512078680183035,0.147862988515621
"31","Vis/Mix","Vis","Mix",1.33274105916396,1.79813906654474,0.325465831149033,13,0.110792519602838,0.629713311676539,0.443443523938042,0.465398007380779,0.349203623750233,0.1288684176987
"32","Vis/Mix","Vis","Mix",2.19089023002067,2.4621062357135,0.26940604310979,13,0.0952466357778801,0.681315876662856,0.435866463661574,0.271216005692831,0.123792603562011,0.0802487941197084
"33","Vis/Mix","Vis","Mix",3.60159985092008,3.63509094420343,0.289030278806156,13,0.0904068347724882,1.03813273872073,0.450111308058518,0.033491093283346,0.0092989489864595,0.0569484038488196
"34","Vis/Mix","Vis","Mix",5.92066243593828,4.94770638469395,0.278331956021891,13,0.0942783637504547,1.35210912166102,0.442178666586459,-0.972956051244337,-0.164332295882724,0.0257272219678371
"35","Vis/Mix","Vis","Mix",9.73296455223241,7.10054080468762,0.249793771452993,13,0.101340950868413,1.73636677936982,0.471074426164,-2.63242374754479,-0.270464742105837,0.0356432009640821
"36","Vis/Mix","Vis","Mix",16,10.7215902576613,0.260296402617268,13,0.116825222330449,2.63308433119408,0.493103228107727,-5.27840974233872,-0.32990060889617,0.0489746922659573
