"","exp","mslope","mregindex","seregindex"
"1","Vis/Mix",0.633654819972756,0.366345180027244,0.0503672911522952
"2","Vis/Block",0.89018255450287,0.10981744549713,0.0505406730865325
"3","Aud/Mix",0.743113292098753,0.256886707901247,0.036555903406625
"4","Aud/Block",0.866167625964408,0.133832374035592,0.0298098046404022
