"","exp","modality","sample","duration","sub","mRepr","sdRepr","mPrErr","sdProd","mRepErr","sdRepErr","rre","cv","log_dur","block","mean"
"1","Vis/Mix","Vis","Mix",0.3,"21",0.32501597139526,0.167754411889347,0.418963727513498,0.160341158171893,0.0250159713952597,0.167754411889347,0.0833865713175324,0.516142056555542,-1.73696559416621,1,2.18829630304901
"2","Vis/Mix","Vis","Mix",0.3,"22",0.586336042803004,0.283022775081215,0.590629190751591,0.174624353561355,0.286336042803004,0.283022775081215,0.954453476010012,0.482697215283257,-1.73696559416621,1,2.18829630304901
"3","Vis/Mix","Vis","Mix",0.3,"23",1.12303334992528,0.489371423255243,0.614214190459706,0.186822188901388,0.823033349925278,0.489371423255243,2.74344449975093,0.435758584807658,-1.73696559416621,1,2.18829630304901
"4","Vis/Mix","Vis","Mix",0.3,"24",0.706105119807434,0.33664786678326,0.36543739849623,0.106238166403972,0.406105119807434,0.33664786678326,1.35368373269145,0.476767349987589,-1.73696559416621,1,2.18829630304901
"5","Vis/Mix","Vis","Mix",0.3,"25",0.564079816570201,0.161600588798143,0.509804758200259,0.0777822461482655,0.264079816570201,0.161600588798143,0.880266055234004,0.286485323620919,-1.73696559416621,1,2.18829630304901
"6","Vis/Mix","Vis","Mix",0.3,"26",0.517404247335768,0.180884935127409,0.371039570404143,0.0535908052376025,0.217404247335768,0.180884935127409,0.72468082445256,0.349600792917388,-1.73696559416621,1,2.18829630304901
"7","Vis/Mix","Vis","Mix",0.3,"27",0.855102267848023,0.443976409176556,0.445787807429171,0.128644807204281,0.555102267848023,0.443976409176556,1.85034089282674,0.519208550684681,-1.73696559416621,1,2.18829630304901
"8","Vis/Mix","Vis","Mix",0.3,"28",1.28592959765613,0.907434776269776,0.629670038216955,0.181105955796878,0.985929597656132,0.907434776269776,3.28643199218711,0.705664429781972,-1.73696559416621,1,2.18829630304901
"9","Vis/Mix","Vis","Mix",0.3,"29",0.287334612051444,0.0840914794079521,0.380115602916132,0.105768267116846,-0.0126653879485558,0.0840914794079521,-0.0422179598285194,0.292660458855184,-1.73696559416621,1,2.18829630304901
"10","Vis/Mix","Vis","Mix",0.3,"30",0.251512526274018,0.0853263847722199,0.432270060527056,0.147005166894836,-0.0484874737259816,0.0853263847722199,-0.161624912419939,0.3392530226477,-1.73696559416621,1,2.18829630304901
"11","Vis/Mix","Vis","Mix",0.3,"32",0.521255056666102,0.214985352391211,0.513992419968182,0.139237844082148,0.221255056666102,0.214985352391211,0.737516855553672,0.412437921976695,-1.73696559416621,1,2.18829630304901
"12","Vis/Mix","Vis","Mix",0.3,"33",0.547721238715716,0.241485491804578,0.521449536355382,0.202054552581911,0.247721238715716,0.241485491804578,0.825737462385718,0.440891232136274,-1.73696559416621,1,2.18829630304901
